txId,time_step,xgb_score,lstm_score,gnn_score,lgb_score,cat_score,gat_score,ensemble_score,risk_tier,model_agreement,ring_id
163654643,29,0.99983585,0.99926764,0.54208034,0.999771073504463,0.9984484378235955,1.0,0.9669439251379317,CRITICAL,6,5761
99190632,21,0.9998313,0.9995408,0.53495914,0.9995872123633479,0.9992637921695908,0.99999964,0.9666104017889546,CRITICAL,6,800
99153077,21,0.9999368,0.99813616,0.5370633,0.9997763413985206,0.9991658313960563,0.9999769,0.9665568629582688,CRITICAL,6,795
332935613,23,0.9999342,0.997512,0.5338426,0.9997986365732444,0.9995772362917646,0.9999999,0.9663120207805788,CRITICAL,6,6398
332936041,23,0.999913,0.99731076,0.53191656,0.99977284427971,0.9992529104341965,1.0,0.9660660352793274,CRITICAL,6,94
99916850,21,0.99985504,0.9985892,0.53241354,0.9992525093091045,0.9979589296073101,0.9999937,0.9659405879587103,CRITICAL,6,856
339120960,13,0.99988234,0.9986443,0.52984023,0.9993658589364603,0.9986987306673469,0.99926573,0.9658330783605716,CRITICAL,6,959
339101039,13,0.9998888,0.9940487,0.53969693,0.9993663012686436,0.998526599685794,0.999997,0.9658289275798265,CRITICAL,6,7994
355009408,32,0.99976856,0.9976955,0.53103465,0.9992340170210631,0.9986598369656264,0.99999905,0.9658110703038136,CRITICAL,6,2109
355007354,32,0.99978656,0.9966773,0.5346851,0.9994133737767346,0.9978711779687855,1.0,0.9657782736970832,CRITICAL,6,12530
163654535,29,0.99988353,0.9995003,0.52427715,0.999771365935146,0.998678131631669,0.9999492,0.9657666361390019,CRITICAL,6,5714
163654676,29,0.99979943,0.9994821,0.525727,0.9996785139965775,0.9983648941641796,0.9998253,0.9657487783558005,CRITICAL,6,5788
163654679,29,0.9997496,0.99933904,0.5303729,0.999698094789618,0.9974716313958865,0.9988937,0.9657259636436688,CRITICAL,6,5791
355004127,32,0.999689,0.9971597,0.53289276,0.9990984820581232,0.9978680166092379,1.0,0.9656490255498497,CRITICAL,6,1750
93528306,33,0.99990606,0.9959455,0.5310067,0.9997685376762521,0.9986645124624907,1.0,0.9656479575899025,CRITICAL,6,4744
332935601,23,0.9999224,0.9974341,0.5289814,0.9997915939669649,0.9995748634181917,0.99796677,0.9656376691198236,CRITICAL,6,6395
378250960,16,0.9997496,0.99769115,0.5283399,0.9992272187491317,0.9986765514176925,0.9999858,0.965615011621281,CRITICAL,6,5231
288349522,34,0.9998258,0.9999093,0.52278095,0.999733076430343,0.9981536747747248,0.9999672,0.9656077901386401,CRITICAL,6,1700
339120973,13,0.9998735,0.99893683,0.5234155,0.9993658589364603,0.9988571222750379,0.9999995,0.9655688859131473,CRITICAL,6,3466
163654675,29,0.9998995,0.9994153,0.520251,0.999816305825156,0.9990751490688151,0.99992096,0.9655539948405291,CRITICAL,6,5787
339094215,13,0.9998847,0.99795157,0.5254136,0.9994702593787305,0.9991450286111323,0.9991272,0.9654907457344062,CRITICAL,6,5644
100039914,21,0.99985003,0.99872094,0.5248852,0.9993917326601601,0.9979503405643421,0.99999154,0.9654532506755795,CRITICAL,6,12690
12675126,41,0.99942845,0.99988437,0.53684086,0.9983996700187199,0.9941039749849278,1.0,0.9654419454701818,CRITICAL,6,1733
156081046,45,0.99940646,0.99999404,0.51868004,0.999665474585757,0.9982634353794347,1.0,0.9652598498130448,CRITICAL,6,4182
163654674,29,0.99973875,0.9994987,0.52728295,0.9996636058331578,0.9980583312965741,0.9963709,0.9652562399819855,CRITICAL,6,5786
288125348,34,0.99991524,0.99937445,0.51571363,0.99975529702383,0.9988672882633151,0.9999988,0.9651854828237262,CRITICAL,6,143
163654545,29,0.9998909,0.9994855,0.5147502,0.9997858119701503,0.9990517324821057,1.0,0.9651745765289916,CRITICAL,6,5722
84335460,26,0.99937004,0.99992466,0.51332927,0.9997597908983111,0.9995185505291031,1.0,0.9651323137626132,CRITICAL,6,9881
234574631,11,0.9998845,0.9978684,0.5198358,0.999382775532763,0.998863790740089,0.9996805,0.9650905816481871,CRITICAL,6,416
332936265,23,0.999913,0.9973183,0.51837635,0.99977284427971,0.9992529104341965,0.9998834,0.9650873446292518,CRITICAL,6,1402
163653388,29,0.99981123,0.99599624,0.5255413,0.9992117190218578,0.9983501975528554,1.0,0.965072989500312,CRITICAL,6,5250
84100122,25,0.99968636,0.9943177,0.5282636,0.9992985557582187,0.9986733625242676,0.99994266,0.9650290859127689,CRITICAL,6,67
288125351,34,0.9999176,0.9992005,0.5126048,0.999814009403828,0.9992143549513343,0.9999956,0.9650167242793163,CRITICAL,6,143
355175639,32,0.9998142,0.99780124,0.5305809,0.9995155451508965,0.9993926370073328,0.9934755,0.9650117417828274,CRITICAL,6,496
163654225,29,0.9998411,0.9989742,0.5153268,0.9993895376867034,0.9988178162022721,1.0,0.9649909100977209,CRITICAL,6,5597
339093611,13,0.9998883,0.9979729,0.5166261,0.9994503938021597,0.9991450286111323,0.99966574,0.9649491313899577,CRITICAL,6,5368
163654811,29,0.99985254,0.9993456,0.5132011,0.9996972180015085,0.9987235718669453,0.99999535,0.9649481923826309,CRITICAL,6,5873
234565884,11,0.99993885,0.99887115,0.5118539,0.9998352885610153,0.9992774156550842,1.0,0.9649291781511158,CRITICAL,6,6322
163654548,29,0.99982256,0.9995233,0.5146639,0.99976285328723,0.9977785292306374,1.0,0.9649000794812352,CRITICAL,6,5724
163654816,29,0.99982977,0.99894494,0.5180581,0.9996317309389056,0.9971206919325963,0.9999999,0.9648851314005494,CRITICAL,6,5877
234565907,11,0.99994004,0.9990596,0.51000583,0.9998087503792922,0.9994355591792707,0.99994254,0.9648478680664729,CRITICAL,6,6339
163654660,29,0.9998523,0.99931955,0.51351047,0.9997055845864686,0.998097589213912,1.0,0.9648420190494924,CRITICAL,6,5775
355009180,32,0.99966204,0.9972711,0.526765,0.9991026312215939,0.995949521408235,1.0,0.9648416676848443,CRITICAL,6,2035
163654684,29,0.9998776,0.99946386,0.51303655,0.9997752927916499,0.9979361005046632,1.0,0.9648196415471512,CRITICAL,6,5796
355004367,32,0.99968374,0.9970703,0.52052677,0.9991874853438717,0.9980651567409439,1.0,0.9648117260150696,CRITICAL,6,11559
339267336,13,0.9998129,0.9932459,0.5348646,0.9997578874092783,0.9952788828878093,0.99999535,0.9647586408876772,CRITICAL,6,8808
99632333,21,0.99992406,0.9991346,0.5104007,0.9997856272089795,0.9988425674922333,0.9995951,0.9647082167588129,CRITICAL,6,1539
12778087,41,0.9994886,0.99854565,0.5320417,0.998768910490893,0.9926570541307586,0.99999845,0.9646680819457534,CRITICAL,6,96
99632900,21,0.9999403,0.99906665,0.50801945,0.999795285222183,0.9995342453395483,0.9993862,0.9646399355433594,CRITICAL,6,8127
329278279,31,0.9994562,0.9954275,0.5323581,0.998927076747247,0.9948936169371765,0.9999999,0.9646352328132827,CRITICAL,6,10485
115069993,21,0.9996594,0.99671495,0.517682,0.9991599869275221,0.9986210984159163,0.99986625,0.9646300083865881,CRITICAL,6,9276
339120982,13,0.9998683,0.99894994,0.51051384,0.9993131321293618,0.998778012299405,0.9999989,0.9646265872077451,CRITICAL,6,527
